first_name,last_name,phone,email,address
Ali,Khan,87001234567,ali.khan@example.com,Almaty
Dana,Sadykova,87007654321,dana.s@example.com,Astana
Aruzhan,Bektas,87005556677,aruzhan.b@example.com,Shymkent
Nursultan,Serik,87771234567,n.serik@example.com,Karaganda
Aigerim,Tulegen,87009998877,aigerim.t@example.com,Almaty
Dias,Omarov,87003334455,dias.o@example.com,Aktobe
Zarina,Iskakova,87001112233,zarina.i@example.com,Taraz
Madi,Akhmetov,87007778899,madi.a@example.com,Pavlodar
Alina,Kozlova,87001239876,alina.k@example.com,Almaty
Timur,Bekov,87006543210,timur.b@example.com,Kostanay
